tx, ty, tz
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.32221e-05, 7.22015e-05, -2.82422e-05
2.30289e-05, 6.0186e-05, -4.32244e-05
1.8042e-05, 5.43152e-05, -3.82691e-05
1.56184e-05, 4.76011e-05, -3.83287e-05
1.87847e-05, 4.7594e-05, -3.34849e-05
2.8346e-05, 4.75798e-05, -2.36738e-05
3.40426e-05, 4.45379e-05, -2.00331e-05
4.4613e-05, 4.21501e-05, -2.48414e-05
3.41317e-05, 3.70161e-05, -2.6193e-05
3.11426e-05, 3.41992e-05, -2.60399e-05
4.119e-05, 2.60196e-05, -3.05224e-05
4.72842e-05, 1.92191e-05, -3.54671e-05
5.32669e-05, 1.74141e-05, -3.91687e-05
5.43114e-05, 4.66061e-06, -4.30749e-05
5.19907e-05, 2.6233e-06, -4.34687e-05
4.63896e-05, -3.0541e-06, -4.36072e-05
5.50554e-05, -3.01601e-06, -4.49855e-05
5.93463e-05, 9.06385e-08, -3.89176e-05
6.36115e-05, 2.295e-06, -3.78961e-05
6.90814e-05, 1.00284e-05, -4.02622e-05
6.79968e-05, 9.98419e-06, -4.26842e-05
5.69284e-05, 3.27781e-06, -4.64258e-05
5.31477e-05, 1.47038e-06, -4.67191e-05
5.53896e-05, -3.65952e-07, -5.00652e-05
6.15606e-05, -1.27356e-06, -5.07698e-05
